,State,VEP_Counted,VEP,Minor,Cast,VAP,Democrat,Republican,Year,Counted,Type,Treatment,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes,OtherRace,Treatment2
115,Oregon,21.9,"2,802,257",,"614,311","3,028,846","326,356","287,955",2012,,Primary,,2975500,62700,464200,39800,144200,15300,123800,3825500,,,NA
180,Oregon,36,"2,980,345","155,253",,"3,211,041","658,102","415,103",2016,"1,073,205",Primary,,3064300,69800,510400,37900,168000,14500,149600,4014500,,,NA
50,Pennsylvania,34,"9,360,067",,"3,183,134","9,683,978","2,354,005","829,129",2008,,Primary,,9799700,1176300,566700,13100,286700,,157100,12002700,,,NA
108,Pennsylvania,14.8,"9,624,165",,"1,424,217","10,007,504","616,102","808,115",2012,,Primary,,9760800,1262300,750700,13000,349500,,209400,12347600,,,NA
174,Pennsylvania,33.7,"9,721,843",,,"10,131,664","1,681,427","1,594,475",2016,"3,275,902",Primary,,9553800,1272900,866000,16600,404100,3300,248000,12364700,,,NA
45,Rhode Island,28.4,"759,793",,"215,868","824,580","186,657","27,237",2008,,Primary,,793100,47200,115500,3200,29100,,21000,1009400,,,NA
109,Rhode Island,3,"765,324",,"22,670","833,091","8,106","14,564",2012,,Primary,,759200,48300,135700,2700,30800,,31100,1007900,,,NA
175,Rhode Island,23.6,"780,998",,,"847,454","122,458","61,614",2016,"184,072",Primary,,737600,56600,153300,2600,33500,,28700,1013900,,,NA
6,South Carolina,30.3,"3,230,163",,"977,650","3,380,941","532,151",,2008,,Primary,,2819300,1205500,167900,9600,45400,,69400,4318400,,,3
131,South Carolina,30.5,"3,663,583",,,"3,837,705","373,063",,2016,"1,118,468",Primary,,3075500,1280800,263400,12000,73100,,98300,4805300,,,3
192,South Carolina,13.9,"3,896,958",,,"4,072,138","539,263",,2020,"540,062",Primary,,3332986,1339360,,16686,75084,3004,110208,4955925,,78597,3
63,South Carolina ,17.6,"3,434,551",,"605,623","3,621,841",,"603,770",2012,,Primary,,,,,,,,,,,,3
60,South Dakota,28.4,"593,121",,"168,340","605,821","97,797","60,964",2008,,Primary,,662700,6700,21300,59300,5000,,14900,769900,,,3
124,South Dakota,15,"611,746","1,331","91,736","627,383","32,113","58,292",2012,,Primary,,672600,14900,22100,69900,7100,,13400,800400,,,3
187,South Dakota,19.9,"634,281",,,"651,157","53,006","66,879",2016,"126,128",Primary,,691500,11200,30700,72900,12500,,17000,835800,,,3
30,Tennessee,26.1,"4,522,727",,"1,178,579","4,727,718","624,764","553,815",2008,,Primary,,4662800,970400,228400,13600,77300,,89100,6045200,,,3
82,Tennessee,13.4,"4,682,042",,"627,228","4,939,973","79,577","547,561",2012,,Primary,,4728400,1037000,298900,11900,92000,2600,106800,6277400,,,3
141,Tennessee,25.3,"4,874,592",,,"5,134,596","377,222","855,729",2016,"1,232,951",Primary,,4814000,1058900,338100,14300,114200,,124000,6467700,,,3
202,Tennessee,17.9,"5,090,236",,,"5,355,171","515,167","398,045",2020,"913,212",Primary,,5166231,1117489,,17848,112915,3806,142134,6651089,,90666,3
46,Texas,28.4,"14,942,119",,"4,237,308","17,523,049","2,874,986","1,362,322",2008,,Primary,,11213000,2591500,8626100,68800,819300,16000,308200,23643000,,,3
118,Texas,12.8,"15,915,758",,"2,039,641","18,989,257","590,164","1,449,477",2012,,Primary,,11265800,2874000,9756900,58600,1027500,16300,385300,25384300,,,3
142,Texas,24.7,"17,299,279",,,"20,534,676","1,435,895","2,836,488",2016,"4,272,383",Primary,,11555500,3124600,10671100,64000,1264500,17100,481600,27178300,,,3
203,Texas,21,"18,474,747",,,"21,827,165","1,869,419","2,017,167",2020,"3,886,586",Primary,,20720689,3365783,,136061,1308257,23672,730499,27885195,,1600234,3
31,Utah,24.7,"1,731,819",,"428,459","1,855,254","131,403","296,061",2008,,Primary,,2202100,25800,317800,24900,51600,21500,43000,2686800,,,3
125,Utah,14.3,"1,836,077",,"262,425","1,977,241",,"242,272",2012,,Primary,,2240100,25100,369300,23800,61900,23400,58300,2801700,,,3
164,Utah,14.3,"1,963,474",,,"2,113,180","81,606","200,000",2016,"281,606",Caucus,,2361900,29400,413000,22800,70500,28400,73200,2999300,,,3
204,Utah,26.2,"2,155,622",,,"2,309,079","220,582","344,852",2020,"565,434",Primary,,2632056,35862,,32657,69810,27096,89879,3045350,,157990,3
47,Vermont,40.7,"483,489",462,"196,715","491,902","155,279","40,120",2008,,Primary,,569600,3400,6200,,,,13100,599100,,,3
83,Vermont,21.1,"489,108",,"103,264","498,432","40,992","60,850",2012,,Primary,,566700,5600,8300,,9100,,9000,600700,,,3
143,Vermont,39.8,"495,563",,,"506,881","135,256","61,756",2016,"197,012",Primary,,560600,5000,11100,2900,6400,,13600,599600,,,3
205,Vermont,39.4,"500,210",,,"510,810","158,032","39,291",2020,"197,323",Primary,,589546,8058,,2106,10579,184,12078,624977,,2426,3
40,Virginia,26.9,"5,487,966",,"1,475,455","5,924,917","986,203","489,252",2008,,Primary,,4973600,1413300,504200,17700,361600,3900,144200,7418400,,,3
84,Virginia,4.6,"5,763,308",,"265,570","6,316,136",,"265,570",2012,,Primary,,5047300,1470000,658500,14500,463400,4000,207900,7865500,,,3
144,Virginia,30.1,"6,022,089",,,"6,549,502","785,041","1,025,425",2016,"1,810,466",Primary,,5035700,1495100,732600,17600,519200,5500,275100,8080900,,,3
206,Virginia,21.4,"6,187,283",,,"6,701,056","1,323,509",,2020,"1,323,509",Primary,,5722660,1613285,,22972,531503,5677,309213,8413774,,208464,3
73,Washington,1.1,"4,804,839",,"50,764","5,274,878",,"50,764",2012,,Caucus,,4827200,231100,787000,77900,487500,37300,285000,6732900,,,3
181,Washington,16,"5,095,707",,,"5,641,592",,"587,152",2016,"817,152",Primary,,4949000,244000,885900,77300,577700,44800,345500,7124100,,,3
212,Washington,41.8,"5,399,721",,,"6,010,939","1,558,776","695,275",2020,"2,256,488",Primary,,5545997,269854,,95048,607429,48043,416795,7294336,,311170,3
42,Washington ,30.6,"4,525,823",,"1,386,701","4,980,527","691,381","529,932",2008,,Primary,,,,,,,,,,,,3
